patent_number,application_number
US9447092,US20150266868A1
US9447087,US20190030031A1
US20130102619,US20130102619A1
US8470843,US20120015970A1
US8470837,US20120202999A1
US8486964,US20110172265A1
US8487093,US20130274475A1
US8497281,US20160272590A1
US8501936,US20100311693A1
US9469597,US20140256729A1
US8501767,US20110312957A1
US8501783,US20130137726A1
US8507676,US20120302570A1
US8507714,US20110166342A1
US8507533,US20160362392A1
US8507510,US20100076000A1
US8507479,
US8524710,US20120115843A1
US8530652,US20120264751A1
US8530504,US20110086882A1
US8530490,US20110082163A1
US8536227,
US8530460,US20130158004A1
US8802712,US20130150359A1
US8815951,US20110245331A1
US8802686,US20110251222A1
US8816088,US20130331364A1
US8815934,US20140329784A1
US8802672,US20110112093A1
US8815926,US20140011798A1
US8815927,US20120263675A1
US8815852,US20100160331A1
US8822534,US20140296240A1
US8822458,US20150166568A1
US8822448,US20130225553A1
US8530648,US20120264748A1
US8536173,US20120165337A1
US8536165,US20110212945A1
US8536193,US20110082135A1
US8829010,US20140080806A1
US8815901,US20130324519A1
US8835444,US20120316185A1
US8835436,US20120115881A1
US8541408,US20140073815A1
US8541427,US20110110957A1
US8846730,US20100063022A1
US8846719,US20130274467A1
US8846929,US20100216726A1
US20240239766,US20240239766A1
US9487512,US20150025054A1
US8846699,US20080318950A1
US8846658,US20150018338A1
US8846656,US20140349995A1
US8846698,US20140364415A1
US8853258,US20120202777A1
US8859586,US20140275158A1
US8853224,US20110130412A1
US8853193,US20110212103A1
US8546389,US20120142686A1
US8546404,US20090118284A1
US8546434,US20140056880A1
US8546380,US20120022249A1
US8552202,US20130150345A1
US8551988,US20190282547A1
US8563594,US20140011771A1
US8551978,US20130331364A1
US11970474,US20240287020A1
US20240335569,US20240335569A1
US8575145,US20140045817A1
US8865706,US20150224110A1
US8865911,US20180221367A1
US8871728,US20120329741A1
US8871738,US20140378493A1
US8575201,US20120295896A1
US8569281,US20120295883A1
US8614220,US20100216808A1
US8614213,US20140088105A1
US8889708,US20140275155A1
US8895245,US20200397812A1
US8895544,US20140024634A1
US8901310,US20140316139A1
US8906933,US20130131093A1
US8895592,US20100216760A1
US8901087,US20130296301A1
US8901295,US20140179687A1
US8575203,US20120094976A1
US8586600,US20140073661A1
US8912213,US20130345252A1
US8912224,US20130065859A1
US8921368,US20140011795A1
US8575197,US20110183939A1
US8586617,US20080119535A1
US8586620,US20140051687A1
US8592454,US20110178060A1
US8921389,US20140088101A1
US8933079,US20130237515A1
US8933224,US20150353579A1
US8933228,US20130156826A1
US8937068,US20070123494A1
US8592431,US20110288087A1
US8940720,US20120041190A1
US8940771,US20090163469A1
US8598357,US20120225868A1
US8969325,US20130172334A1
US8969335,US20140228340A1
US8575157,
US8598155,US20140066622A1
US8952157,US20180251426A1
US8952169,US20130317001A1
US8957073,US20160102075A1
US8957068,US20140235620A1
US8957074,US20150099737A1
US8957103,US20130345281A1
US8957219,US20110251386A1
US8962608,US20140243309A1
US8962641,US20140315882A1
US8962651,US20140275154A1
US8962674,US20100048901A1
US8598206,US20110301196A1
US8598157,US20130023519A1
US8604217,US20120184535A1
US8604206,US20180273474A1
US8975267,US20130296305A1
US8609622,US20130130997A1
US8609681,US20140073662A1
US8980905,US20130123291A1
US8604016,US20130157998A1
US9073917,US20120220621A1
US8993756,US20140349998A1
US9012475,US20150065479A1
US9012651,US20120245124A1
US9018217,US20150190395A1
US9023354,US20140134163A1
US9029559,US20140135328A1
US9029362,US20150307465A1
US9034897,US20140378686A1
US9034899,US20100292242A1
US9034574,US20100093768A1
US9034866,US20150166569A1
US9040534,US20150290190A1
US9040691,US20140256718A1
US9040714,US20130116247A1
US9108983,US20150031673A1
US9108973,US20140343035A1
US9051311,US20150018352A1
US9056836,US20140221419A1
US9056847,US20130143228A1
US20130089624,US20130089624A1
US9062048,US20130310365A1
US8470800,US20100279970A1
US8470816,US20090156572A1
US8470820,US20110183979A1
US8470825,US20130345225A1
US8470835,US20110275655A1
US8470836,US20100274013A1
US8470841,US20110183998A1
US8470888,US20100317732A1
US9067871,US20140031331A1
US9062043,US20110263581A1
US9067922,US20150259327A1
US9067935,US20140088098A1
US8476295,US20110144150A1
US8476284,US20240358707A1
US8476255,US20100222379A1
US8476271,US20200223847A1
US8476267,US20110053929A1
US8481564,US20110195960A1
US8476225,US20110135604A1
US8481536,US20110294796A1
US8481743,US20100234426A1
US8486966,US20140155394A1
US8487096,US20200247811A1
US8481586,US20110263669A1
US8486953,US20120128686A1
US8486989,US20140010784A1
US8487111,US20100261759A1
US8492379,US20110044898A1
US8486940,US20160039795A1
US8481733,US20090286768A1
US8492392,US20120065211A1
US8492564,US20120010219A1
US8492568,US20110098316A1
US8492387,US20110034483A1
US8492408,US20110257230A1
US8492394,US20110098286A1
US8476306,US20110065799A1
US8470847,US20100144757A1
US8497376,US20090105296A1
US8497277,US20240358707A1
US8497385,US20090270492A1
US8497270,US20120172367A1
US8497286,US20130005770A1
US8497288,US20120289549A1
US8497265,US20110306588A1
US8501708,US20110245194A1
US8497368,US20120142681A1
US8497274,US20120214855A1
US8501768,US20120295934A1
US8501961,US20110118330A1
US8501991,US20110021529A1
US8501729,US20130310366A1
US8501750,US20100137281A1
US8501744,US20110077254A1
US8501749,US20120108597A1
US8501981,US20090227625A1
US8501944,US20200239458A1
US9067937,US20150328225A1
US9073833,US20150210636A1
US9073881,US20130079346A1
US9073922,US20140275027A1
US8501732,US20130018043A1
US8507683,US20120309770A1
US8507535,US20120010212A1
US8507477,US20110306604A1
US8524909,US20110190349A1
US8524917,US20080171772A1
US8524722,US20110021493A1
US8524717,US20110263604A1
US8524716,US20100273792A1
US8524699,US20120264704A1
US8530670,US20120237475A1
US8530494,US20110136846A1
US8536198,US20100222366A1
US8536181,US20110110961A1
US8536210,US20110263567A1
US8536192,US20120135978A1
US8536158,US20110142855A1
US8536166,US20100004231A1
US8536175,US20120309741A1
US8536172,US20110034470A1
US8541572,US20120010181A1
US9079834,US20140018325A1
US8541596,US20110262388A1
US8541447,US20120136024A1
US8546435,US20120083494A1
US8546451,US20140171468A1
US8541380,US20120101051A1
US8541363,US20130217617A1
US8541407,US20110245236A1
US8552199,US20120022039A1
US8546392,US20100204234A1
US8552033,US20090215827A1
US8552057,US20120164122A1
US8552037,US20130079374A1
US8551989,US20110207731A1
US8552004,US20160074412A1
US8552023,US20110190329A1
US8552017,US20110046149A1
US8552005,US20100331347A1
US8546370,US20110003798A1
US9079866,US20150259357A1
US8551963,US20120070410A1
US8563553,US20140011825A1
US8563545,US20210369727A1
US8680132,US20140148494A1
US9079929,US20140274960A1
US9085531,US20150274713A1
US9085555,US20120295884A1
US8952177,US20140275029A1
US9090562,US20250170138A1
US9096589,US20120309714A1
US9096594,US20220160702A1
US8563583,US20110319449A1
US8562945,US20160222036A1
US8569511,US20120277229A1
US8569338,US20190359611A1
US8569318,US20110039870A1
US8569521,US20120264736A1
US9102591,US20200054630A1
US9102622,US20090306016A1
US9115082,US20130184322A1
US9115083,US20140179753A1
US9102669,US20140371220A1
US8580815,US20110312959A1
US8575186,US20110112122A1
USRE44599,
US8575114,US20110237527A1
US8569311,US20120295921A1
US8569308,US20110172247A1
US8569299,US20130143859A1
US8569314,US20120004203A1
US8569316,US20120046270A1
US8569313,US20100305090A1
US8575391,US20100197676A1
US8569306,US20110306618A1
US8575375,US20110092473A1
US8569291,US20110224230A1
US8575364,US20110207709A1
US8580778,US20140038938A1
US8580800,US20110118221A1
US8586597,US20210332047A1
US8580788,US20140186951A1
US8580782,US20070281951A1
US8586579,US20110313151A1
US8586580,US20120277424A1
US8586571,US20100292206A1
US8592455,US20120134987A1
US8592468,US20110288130A1
US8592581,US20100093769A1
US8592457,US20110201591A1
US8592579,US20120302747A1
US8592432,US20110135668A1
US8592371,US20160137622A1
US8592425,US20120010209A1
US8592423,US20130150371A1
US8592415,US20110071149A1
US8592426,US20130018055A1
US8598345,US20110172248A1
US8592379,US20110039786A1
US8592410,US20110263583A1
US8598210,US20140057892A1
US8598200,US20140057938A1
US8598217,US20120101064A1
US8604218,US20120046275A1
US8598163,US20120040973A1
US8598184,US20100324074A1
US8598172,US20110053944A1
US8598119,US20110071080A1
US8609892,US20110124648A1
US8609833,US20120264706A1
US8604046,US20120258979A1
US8609688,US20140073635A1
US8609852,US20120289696A1
US8604028,US20130131055A1
US8609710,US20140178349A1
US8609698,US20100093803A1
US8609666,US20110293564A1
US8604061,US20120196903A1
US8609715,US20150313889A1
US8618303,US20120178761A1
US8609708,US20100298345A1
US8618299,US20110003738A1
US8609647,US20240150367A1
US8609678,US20200030325A1
US8618290,US20120264770A1
US8613914,US20130022572A1
US8614215,US20100137308A1
US8614234,US20170066738A1
US8614206,US20130079321A1
US8614253,US20110065162A1
US8618286,US20120122855A1
US8618158,US20180118684A1
US8618147,US20130190369A1
US8618075,US20150210730A1
US8618098,US20120129845A1
US8624022,US20120029188A1
US8623903,US20120142687A1
US8618111,US20120028958A1
US8618114,US20110178078A1
US8623906,US20120034186A1
US8623901,US20110082137A1
US8618107,US20120010191A1
US8623892,US20130184309A1
US8623889,US20140088076A1
US8623885,US20120244110A1
US8623883,US20130274275A1
US8618103,US20110059118A1
US8623865,US20130137689A1
US8623863,US20110207715A1
US8629282,US20130237566A1
US8629158,US20110003737A1
US8629154,US20110059997A1
US8629141,US20120289494A1
US8629135,US20110201598A1
US8628961,US20120016033A1
US8629167,US20130116288A1
US8623860,US20130172316A1
US8633231,US20130123315A1
US8633208,US20110118289A1
US8633206,US20110136765A1
US8633212,US20160272600A1
US8633204,US20120309775A1
US8633196,US20140107129A1
US8633188,US20120016116A1
US8637501,US20110003793A1
US8637507,US20110319403A1
US8633226,US20130023564A1
US9102670,US20170281637A1
US9115140,US20130261106A1
US9120749,US20130217671A1
US9120791,US20150051189A1
US9120808,US20120232047A1
US9120838,US20140066390A1
US9125913,US20140057889A1
US8637500,US20100160280A1
US8633183,US20120028952A1
US8637502,US20120108575A1
US8637508,US20140107118A1
US8637504,US20110190279A1
US8637528,US20160015715A1
US8637526,US20160244456A1
US8637532,US20120046269A1
US8664258,US20190070149A1
US8664236,US20130231519A1
US8664230,US20120238587A1
US8648092,US20140121203A1
US8653087,US20120094975A1
US8637558,US20110269954A1
US8664219,US20110020376A1
US8653091,US20110009432A1
US8653125,US20120004227A1
US8673966,US20130231325A1
US8653092,US20120065183A1
US8653111,US20120121727A1
US8653263,US20240109901A1
US8674113,US20120149676A1
US8674100,US20070249649A1
US8673950,US20120108609A1
US8673938,US20090312372A1
US8673906,US20160272607A1
US8673905,US20120238564A1
US8669380,US20150065513A1
US8669361,US20140128376A1
US8669252,US20130217660A1
US8669266,US20100135999A1
US8685986,US20120190852A1
US8686018,US20130237578A1
US8680120,US20120129890A1
US8680275,US20120202783A1
US8680119,US20200247755A1
US8680116,US20120115885A1
US8686042,US20090124686A1
US8685992,US20120196885A1
US8685958,US20130184250A1
US8691827,US20120136012A1
US8691829,US20120178767A1
US8691832,US20130261140A1
US8691840,US20180325878A1
US8691852,US20120294854A1
US8691856,US20090156655A1
US8691986,US20130338138A1
US8691993,US20130150407A1
US8697911,US20120165322A1
US8697869,US20130065902A1
US8697868,US20090137801A1
US8697716,US20080051402A1
US8697715,US20130252934A1
US8697708,US20140171408A1
US8697696,US20120115868A1
US8691753,US20120309674A1
US8703947,US20110195978A1
US8703811,US20110130381A1
US8703807,US20120238594A1
US8703785,US20110237576A1
US8703770,US20120046289A1
US8703771,US20110319420A1
US8703768,US20110306589A1
US8703767,US20160046586A1
US8703761,US20100022513A1
US8703720,US20140200190A1
US8710076,US20110201632A1
US8710232,US20070129341A1
US8716482,US20120149683A1
US8716478,US20150376210A1
US8716287,US20130065900A1
US8716296,US20100249149A1
US8716285,US20120065204A1
US8722721,US20120238613A1
US8722896,US20120035149A1
US8722895,US20140057892A1
US8722890,US20120309783A1
US8722877,US20160251390A1
US8722718,US20070249685A1
US8722709,US20120289551A1
US8722683,US20130040948A1
US8729273,US20120184582A1
US8722692,US20120184526A1
US8729113,US20110144333A1
US8729078,US20120295885A1
US8729074,US20120071474A1
US8729061,US20130137687A1
US8735593,US20140364450A1
US8735386,US20120238542A1
US8742158,US20130158261A1
US8742138,US20120172399A1
US8742134,US20130157989A1
US8742115,US20150105371A1
US8735395,US20140221654A1
US8742113,US20140018533A1
US8742110,US20130131042A1
US8742106,US20120258973A1
US8741926,US20170226111A1
US8741944,US20130237575A1
US8741923,US20110230518A1
US8748626,US20130224186A1
US8748435,US20120252778A1
US8748624,US20120302610A1
US8748618,US20160096820A1
US8741907,US20110294834A1
US8741915,US20120208817A1
US8748608,US20100267737A1
US8748418,US20120238548A1
US8754113,US20140323722A1
US8754233,US20140350009A1
US8754089,US20120083502A1
US8754106,US20130217725A1
US8754105,US20110237621A1
US8754099,US20120264777A1
US8754075,US20150322054A1
US8754227,US20130005776A1
US8748451,US20130281484A1
US8748458,US20110305729A1
US8759537,US20120214786A1
US8759532,US20130079325A1
US8759366,US20140243290A1
US8765940,US20120094972A1
US8759386,US20130023576A1
US8759365,US20100311750A1
US8759341,US20120035409A1
US8759338,US20110195956A1
US8765750,US20120309760A1
US8765972,US20120245143A1
US8765820,US20130035377A1
US8765747,US20150094315A1
US8772508,US20080292582A1
US8772510,US20130059833A1
US8772511,US20190367504A1
US8765733,US20130079320A1
US8765744,US20120190675A1
US8772495,US20090291981A1
US8772481,US20120108587A1
US8772480,US20130079303A1
US8772316,US20140309253A1
US8772305,US20130023502A1
US8765727,US20100190804A1
US8772478,US20120116072A1
US8772304,US20120277227A1
US8772297,US20130045977A1
US8772288,US20110053936A1
US8772285,US20130079340A1
US8772282,US20140256933A1
US8779142,US20140303162A1
US8778957,US20120010193A1
US8778951,US20130172354A1
US8772283,US20140005185A1
US8778412,US20110111058A1
US8785638,US20140296272A1
US8778970,US20120130077A1
US8785634,US20130023515A1
US8778932,US20120232065A1
US8785499,US20120190708A1
US8785489,US20110275631A1
US8785477,US20130178500A1
US8785467,US20130158056A1
US8785464,US20140038993A1
US8785459,US20130165458A1
US8791272,US20120028938A1
US8791268,US20110184020A1
US8791257,US20130023514A1
US8791131,US20110190326A1
US8791100,US20110190258A1
US8791118,US20120258080A1
US8791123,US20190365763A1
US8791130,US20130158057A1
US8796304,US20140005201A1
US8796310,US20140323440A1
US8796328,US20130345255A1
US8796330,US20140024608A1
US8796457,US20100331359A1
US8796297,US20100331294A1
US8796296,US20130158006A1
US8796295,US20110152299A1
US8796293,US20100022564A1
US8796284,US20130053308A1
US8796280,US20090054447A1
US8802864,US20140100213A1
US8802861,US20090029998A1
US8802721,US20060199845A1
US8802695,US20140329850A1
US8802724,US20130338380A1
US8796244,US20120208791A1
US8802711,US20120245163A1
US8802679,US20120184520A1
US8802674,US20130096102A1
US8802673,US20120245172A1
US8802663,US20120071460A1
US8802665,US20130217665A1
US8815918,US20120094996A1
US8815891,US20110218193A1
US8815881,US20120035195A1
US8815854,US20120329793A1
US8815840,US20120058988A1
US8815845,US20120270862A1
US8822510,US20130158001A1
US8822505,US20130210799A1
US8822494,US20150344474A1
US8822479,US20110065730A1
US8822460,US20140018356A1
US8822447,US20110263559A1
US8829200,US20120277226A1
US8829199,US20120208811A1
US8822500,US20120065233A1
US8829190,US20100113442A1
US8829009,US20130079350A1
US8829000,US20140336197A1
US8828983,US20120309960A1
US8835659,US20130217730A1
US8835472,US20120214785A1
US8835470,US20130045964A1
US8835465,US20130090358A1
US8829193,US20120202851A1
US8841450,US20130115313A1
US8835464,US20150266858A1
US8835445,US20120136014A1
US8841455,US20120258952A1
US8841453,US20140080860A1
US8841288,US20130245005A1
USRE45173,
US8841312,US20140350244A1
US8846917,US20130115311A1
US8846746,US20230348438A1
US8846741,US20130131132A1
US8846711,US20120277207A1
US8846689,US20140371205A1
US9126931,US20120083488A1
US8846673,US20120129852A1
US8846660,US20120259111A1
US8846696,US20090325983A1
US8853228,US20120196859A1
US8846657,US20140179680A1
US8846654,US20120184522A1
US8846000,US20120064005A1
US8846601,US20120178701A1
US8853242,US20120142727A1
US8853207,US20130274255A1
US8853227,US20150072945A1
US8853226,US20120172381A1
US8853215,US20120071489A1
US8853206,US20120208805A1
US8859596,US20100069348A1
US8853203,US20170305903A1
US8853212,US20120277240A1
US8859534,US20130296296A1
US8865750,US20120277273A1
US8865726,US20120178715A1
US8865714,US20110319413A1
US8865701,US20110306595A1
US8865698,US20150133429A1
US8865686,US20090176747A1
US8865662,US20140142100A1
US8865655,US20100056435A1
US8871790,US20140322355A1
US8871934,US20200308109A1
US8871783,US20140275114A1
US8877967,US20160368869A1
US8877798,US20210023049A1
US8871778,US20130274242A1
US8877944,US20120245142A1
US8877795,US20230105307A1
US8877791,US20100099726A1
US8877786,US20140088165A1
US8877778,US20120157449A1
US8877775,US20140275159A1
US8877757,US20110312960A1
US8877741,US20140213568A1
US8884017,US20120202842A1
US8883784,US20140073640A1
US8883771,US20140057924A1
US8883759,US20120225838A1
US8889668,US20130109676A1
US8877733,US20120263678A1
US8883846,US20130210904A1
US8883797,US20120329802A1
US9133148,US20230312499A1
US9133157,US20140303171A1
US9133168,US20130274253A1
US8865745,US20140378509A1
US9138431,US20150342944A1
US9139568,US20160339028A1
US9145391,US20140249130A1
US9145402,US20130158032A1
US9145414,US20140343038A1
US9150527,US20140303157A1
US9150544,US20140329801A1
US9145354,US20150051199A1
US9155743,US20140045831A1
US9156810,US20160096817A1
US9156830,US20140249159A1
US8889671,US20170128458A1
US8614195,US20120264700A1
US8889672,US20120302561A1
US8889684,US20130029993A1
US8889724,US20130336949A1
US8889696,US20120269831A1
US8889870,US20130237538A1
US8894989,US20130011365A1
US8895549,US20150080374A1
US8614223,US20170096403A1
US8895581,US20130210832A1
US8895745,US20100120761A1
US8901115,US20150057262A1
US8901140,US20150126550A1
US8901315,US20140073799A1
US8906911,US20130261129A1
US8906943,US20120196905A1
US8907086,US20130324562A1
US8912173,US20130029949A1
US8912181,US20130296320A1
US8912208,US20150065517A1
US8912219,US20140275032A1
US8912221,US20120165338A1
US8916553,US20140148453A1
US8916574,US20120208833A1
US8916576,US20150344464A1
US8653100,US20110105502A1
US8653257,US20120202991A1
US8653304,US20120184735A1
US8916577,US20130302416A1
US8916594,US20140051862A1
US8916600,US20170081315A1
US8921319,US20130267467A1
US8921364,US20190160046A1
US8921370,US20170217950A1
US8921373,US20130123239A1
US8921404,US20080090867A1
US8921397,US20120283254A1
US8921410,US20160039833A1
US8921412,US20140213642A1
US8921421,US20110294878A1
US8921424,US20110218221A1
US8921559,US20120142733A1
US8927507,US20140107044A1
US8927520,US20130331351A1
US8927534,US20090104116A1
US8927536,US20140080808A1
US8927539,US20120208804A1
US8927563,US20140296271A1
US8927577,US20150353508A1
US8927730,US20120088798A1
US8933024,US20130157941A1
US8933040,US20140005191A1
US8933056,US20160250237A1
US8933095,US20140057938A1
US8933098,US20140094491A1
US8933099,US20140235614A1
US8933221,US20150087637A1
US8927738,US20130289038A1
US8937058,US20110021472A1
US8937084,US20140171461A1
US8937092,US20130079377A1
US8937095,US20140018405A1
US8937193,US20110112112A1
US8940719,US20080119443A1
US8940736,US20140018319A1
US8940738,US20120220591A1
US8937070,US20200239458A1
US8940739,US20130196972A1
US8940744,US20240174676A1
US8940748,US20150307465A1
US8940893,US20140275014A1
US8969341,US20140350010A1
US8969352,US20140275118A1
US8952002,US20140357613A1
US8952008,US20150259352A1
US8969333,US20140288059A1
US8969336,US20120040968A1
US8969348,US20120129863A1
US8969358,US20150203504A1
US8969376,US20120309754A1
US8969394,US20090247596A1
US8969568,US20120028939A1
US8969578,US20110223661A1
US8969583,US20130172353A1
US8969586,US20140235647A1
US8952025,US20130267546A1
US8952027,US20150297595A1
US8952036,US20140243372A1
US8952037,US20110306591A1
US8952128,US20150148522A1
US8952150,US20120238577A1
US8956589,US20110311444A1
US8957057,US20100256227A1
US8957059,US20140038934A1
US8957064,US20130317002A1
US8957075,US20120108605A1
US8957077,US20130137707A1
US8957083,US20130338177A1
US8957084,US20140187571A1
US8957093,US20120309757A1
US8962609,US20130267491A1
US8962611,US20140357618A1
US8962612,US20130317010A1
US8962616,US20150133438A1
US8962619,US20140073635A1
US8962630,US20130184285A1
US8962637,US20130143895A1
US8962646,US20130005755A1
US8962648,US20130178459A1
US8962659,US20150126555A1
US8962664,US20120316207A1
US8962837,US20130040928A1
US8962859,US20140038954A1
US8962860,US20100119475A1
US8975247,US20120276050A1
US8975249,US20120149687A1
US8975250,US20120277220A1
US8975252,US20100240644A1
US8975260,US20130261103A1
US8975261,US20140336195A1
US8975265,US20130190332A1
US8975276,US20130165447A1
US8975282,US20150037280A1
US8975409,US20150126486A1
US8975415,US20140179695A1
US8975417,US20140349990A1
US8980829,US20130324464A1
US8980887,US20130203754A1
US8980901,US20210332047A1
US8980904,US20140288063A1
US8980906,US20150203494A1
US8980916,US20140322195A1
US8980929,US20130203786A1
US8980932,US20130274305A1
US8980938,US20090258936A1
US8980954,US20070249647A1
US8987239,US20130123219A1
US8987242,US20110135650A1
US8987247,US20130085129A1
US8987248,US20150183773A1
US8987249,US20230310373A1
US8987254,US20150157641A1
US8981112,US20180344734A1
US8981106,US20140206647A1
US8987257,US20120220576A1
US8987268,US20140011800A1
US8987272,US20130217693A1
US8987273,US20130210825A1
US8987286,US20130310405A1
US8987287,US20150203495A1
US8987313,US20130309197A1
US8987314,US20140045811A1
US8987315,US20120309800A1
US8987319,US20150266821A1
US8987335,US20140094445A1
US8987445,US20150218143A1
US8987457,US20130336965A1
US8987473,US20140005221A1
US8987474,US20080176309A1
US8993552,US20160045504A1
US8993556,US20120046266A1
US8993557,US20140235608A1
US8993565,US20140303156A1
US8993568,US20150005305A1
US8993575,US20140024656A1
US8993586,US20150152109A1
US8993596,US20150191451A1
US8993612,US20110112058A1
US8993614,US20130244958A1
US8993616,US20140179932A1
US8993631,US20140336194A1
US8993765,US20120157460A1
US8993808,US20120004262A1
US8999955,US20100285124A1
US8999975,US20130172327A1
US8999980,US20150166491A1
US8999982,US20140018365A1
US8999994,US20130012522A1
US8999998,US20240150364A1
US9000008,US20190010150A1
US9000015,US20180338989A1
US8999981,US20120108588A1
US9012443,US20130150339A1
US8999957,US20130096084A1
US9000029,US20150246021A1
US9000043,US20140235718A1
US9000044,US20130225588A1
US9000153,US20130172337A1
US9000182,US20130345246A1
US9000183,US20130345247A1
US9000184,US20130345248A1
US9000185,US20130345272A1
US9006187,US20130172278A1
US9006232,US20120208797A1
US9006242,US20170290837A1
US9006244,US20170136017A1
US9006246,US20130109699A1
US9006249,US20150174089A1
US9006268,US20130090324A1
US9006269,US20210267974A1
US9006282,US20130303773A1
US9006283,US20090018218A1
US9006454,US20120028959A1
US9011882,US20150238472A1
US9012461,US20130017194A1
US9018211,US20140142115A1
US9018213,US20140171442A1
US9018214,US20210122749A1
US9018234,US20130005773A1
US9018255,US20130317102A1
US9018391,US20150239849A1
US9018371,US20100137577A1
US9018381,US20120035134A1
US9023767,US20100285988A1
US9023849,US20130210824A1
US9023865,US20140296203A1
US9023882,US20120289506A1
US9024044,US20160058734A1
US9029356,US20220144813A1
US9029360,US20130261105A1
US9029367,US20140371212A1
US9029364,US20140275050A1
US9029370,US20120316165A1
US9029381,US20120065193A1
US9029393,US20110288074A1
US9029399,US20140228386A1
US9029401,US20140088156A1
US9034303,US20130330284A1
US9034854,US20060063723A1
US9034856,US20100317632A1
US9034874,US20170275264A1
US9034886,US20140235633A1
US9034907,US20080267911A1
US9034921,US20140088079A1
US9035062,US20140303375A1
US9035066,US20190359611A1
US9035059,US20140005382A1
US9035074,US20150246048A1
US9040501,US20140221305A1
US9040509,US20110160173A1
US9040518,US20130029938A1
US9040528,US20150368266A1
US9040542,US20130267540A1
US9040663,US20150252077A1
US9040693,US20090325900A1
US9040694,
US9040717,US20200163937A1
US9040727,US20140221431A1
US9045389,US20120302641A1
US9045459,US20120088790A1
US9045468,US20120046271A1
US9045483,US20130245032A1
US9045498,US20150231144A1
US9045500,US20150031691A1
US9045501,US20140234443A1
US9045524,US20120157394A1
US9107923,US20170057947A1
US9107954,US20150157730A1
US9108903,US20150328196A1
US9108905,US20090176883A1
US9108947,US20140275020A1
US9108951,US20140275061A1
US9051240,US20130274249A1
US9051265,US20120309769A1
US9051270,US20190248745A1
US9108950,US20190185458A1
US9108956,US20150141474A1
US9108978,US20140296177A1
US9108984,US20140066448A1
US9051279,US20130281473A1
US9051280,US20120295881A1
US9051313,US20180303844A1
US9051321,US20140357617A1
US9051329,US20140113920A1
US9056832,US20130303526A1
US9056857,US20130158017A1
US9056843,US20140142105A1
US9056859,US20130217680A1
US9056863,US20140235645A1
US9056865,US20130210800A1
US9061023,US20100316748A1
US9061041,US20140154211A1
US9062004,US20130059848A1
US9062026,US20140024661A1
US9062045,US20130245002A1
US9163003,US20150126513A1
US9163007,US20140343066A1
US9163011,US20150150877A1
US9163021,US20150246912A1
US9062059,US20140228368A1
US9062060,US20140357639A1
US9062066,US20130072482A1
US9062070,US20140206618A1
US9062078,US20140275065A1
US9066954,US20130303529A1
US9067888,US20130345233A1
US9067914,US20250288595A1
US9067917,US20140275028A1
US9067924,US20120225858A1
US9067931,US20160122337A1
US9067945,US20130245045A1
US9067949,US20120184531A1
